source,field,token,mentions,clusters
policies,Topics,Vitamin A,280,micronutrient
policies,Topics,Food fortification,256,fortification
policies,Topics,Stunting in children 0-5 yrs,243,wasting_stunting
policies,Topics,Wasting in children 0-5 years,226,wasting_stunting
policies,Topics,Food security and agriculture,223,food_security
policies,Topics,Micronutrient supplementation,207,micronutrient
policies,Topics,Underweight in children 0-5 years,197,wasting_stunting
policies,Topics,Growth monitoring and promotion,164,wasting_stunting
policies,Topics,Iodine,163,micronutrient
policies,Topics,Breastfeeding promotion/counselling,158,iycf
policies,Topics,HIV/AIDS and nutrition,158,infection
policies,Topics,International Code of Marketing of Breast-milk Substitutes,154,iycf
policies,Topics,Nutrition counselling on healthy diets,154,ncd_diet
policies,Topics,Water and sanitation,152,infection
policies,Topics,Maternity protection,151,maternal
policies,Topics,Breastfeeding,150,iycf
policies,Topics,Management of severe acute malnutrition,150,wasting_stunting
policies,Topics,Food safety,149,ncd_diet
policies,Topics,Food grade salt,148,fortification
policies,Topics,Breastfeeding - Exclusive 6 months,139,iycf
policies,Topics,Management of moderate acute malnutrition,139,wasting_stunting
policies,Topics,Vulnerable groups,135,food_security
policies,Topics,Low birth weight,130,iycf
policies,Topics,School-based health and nutrition programmes,130,schools_education
policies,Topics,Anaemia,128,anaemia
policies,Topics,Provision of school meals / School feeding programme,128,food_security|schools_education
policies,Topics,Iron,127,anaemia
policies,Topics,Vitamin A deficiency,126,micronutrient
policies,Topics,Baby-friendly Hospital Initiative (BFHI),124,iycf
policies,Topics,Complementary feeding promotion/counselling,121,iycf
policies,Topics,Food distribution/supplementation for prevention of acute malnutrition,121,food_security|wasting_stunting
policies,Topics,Iodine deficiency disorders,120,micronutrient
policies,Topics,Mandatory fortification,120,fortification
policies,Topics,Nutrition in the school curriculum,119,schools_education
policies,Topics,Underweight in women,114,maternal
policies,Topics,Household food security,112,food_security
policies,Topics,Complementary feeding,111,iycf
policies,Topics,Counselling on healthy diets and nutrition during pregnancy,100,maternal|ncd_diet
policies,Topics,Vaccination,100,infection
policies,Topics,Wheat flours,100,fortification
policies,Topics,Promotion of healthy diet and prevention of obesity and diet-related NCDs (general),96,ncd_diet
policies,Topics,Taxation on unhealthy foods,96,ncd_diet
policies,Topics,Improved hygiene / handwashing,95,infection
policies,Topics,Media campaigns on healthy diets and nutrition,95,ncd_diet
policies,Topics,Food labelling,91,ncd_diet
policies,Topics,Iron and folic acid,91,anaemia
policies,Topics,Zinc,90,micronutrient
policies,Topics,Anaemia in women 15-49 yrs,89,anaemia|maternal
policies,Topics,Deworming,86,infection
policies,Topics,Physical activity and healthy lifestyle,83,ncd_diet
policies,Topics,Overweight and obesity in adults,82,ncd_diet
policies,Topics,Local products,81,food_security
policies,Topics,Anaemia in pregnant women,80,anaemia|maternal
policies,Topics,Promotion of exclusive breastfeeding for 6 months,79,iycf
policies,Topics,Nutrition education,77,schools_education
policies,Topics,Imported products,75,
policies,Topics,Minimum acceptable diet,72,iycf
policies,Topics,National level tax,72,ncd_diet
policies,Topics,Family planning (including birth spacing),70,maternal
policies,Topics,Folic acid,70,anaemia
policies,Topics,Raised blood glucose/diabetes,68,ncd_diet
policies,Topics,Raised blood pressure,68,ncd_diet
policies,Topics,Overweight in children 0-5 yrs,67,ncd_diet
policies,Topics,Breastfeeding - Early initiation by 1 hour,65,iycf
policies,Topics,Mandatory salt iodization,65,fortification
policies,Topics,Diarrhoea or ORS,64,infection
policies,Topics,Micronutrient powder for home fortification,64,anaemia|fortification
policies,Topics,Conditional cash transfer programmes,63,food_security
policies,Topics,Edible oils and margarine,62,fortification
policies,Topics,Nutrition & infectious disease,57,infection
policies,Topics,Fortification of salt with iodine aligned with WHO guidance,56,fortification|micronutrient
policies,Topics,Sodium/salt intake,56,ncd_diet
policies,Topics,School gardens,55,food_security|schools_education
policies,Topics,Fruit and vegetable intake,53,ncd_diet
policies,Topics,Ad valorem excise tax,52,ncd_diet
policies,Topics,"Home, school or community gardens",52,food_security|schools_education
policies,Topics,Breastfeeding - Continued,51,iycf
policies,Topics,Hygienic cooking facilities and clean eating environment,48,infection
policies,Topics,Maize flours,48,fortification
policies,Topics,Counselling on feeding and care of LBW infants,47,iycf
policies,Topics,Counselling on infant feeding in the context HIV,47,infection|iycf
policies,Topics,Other B-vitamins,46,micronutrient
policies,Topics,Sugar intake,46,ncd_diet
policies,Topics,Infant feeding in emergencies,45,iycf
policies,Topics,Overweight in adolescents,44,ncd_diet
policies,Topics,Mandatory fortification of wheat flours with iron,43,anaemia|fortification
policies,Topics,Vitamin B12,43,micronutrient
policies,Topics,Fortification of wheat flour with iron aligned with WHO guidance,40,anaemia|fortification
policies,Topics,Sanctions exist,40,governance
policies,Topics,Fortification of wheat flour with folic acid aligned with WHO guidance,39,anaemia|fortification
policies,Topics,Mandatory fortification of margarine or edible oils with vitamin A,39,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with folic acid,39,anaemia|fortification
policies,Topics,"Mineral, aerated or flavoured waters (taxes)",39,micronutrient|ncd_diet
policies,Topics,Nutritional care & support for people with TB,38,infection
policies,Topics,Anaemia in adolescent girls,37,anaemia|maternal
policies,Topics,Biofortifcation,37,fortification
policies,Topics,100%,35,
policies,Topics,Health professional  training on breastfeeding,35,iycf|schools_education
policies,Topics,Creation of healthy food environment,34,ncd_diet
policies,Topics,Dietary guidelines,34,ncd_diet
policies,Topics,Food-based dietary guidelines (FBDG),34,ncd_diet
policies,Topics,Monitoring mechanism established,34,governance
policies,Topics,Monitoring of the Code,34,governance
policies,Topics,Promotion of fruit and vegetable intake,34,ncd_diet
policies,Topics,Volume or weight based specific excise tax,34,ncd_diet
policies,Topics,Monitoring of children's growth in school,33,schools_education|wasting_stunting
policies,Topics,Complementary foods,32,iycf
policies,Topics,Nutrition and malaria,32,infection
policies,Topics,Capacity building for the Code,31,governance
policies,Topics,"Maternal, infant and young child nutrition",31,iycf|maternal
policies,Topics,Nutrition sensitive actions,31,food_security
policies,Topics,School meal standard,31,food_security|schools_education
policies,Topics,Raised blood cholesterol,30,ncd_diet
policies,Topics,Paid breastfeeding breaks,29,iycf|maternal
policies,Topics,Vitamin and mineral nutrition,29,micronutrient
policies,Topics,Voluntary fortification,29,fortification
policies,Topics,Acute malnutrition,28,wasting_stunting
policies,Topics,Mandatory fortification of wheat flours with zinc,28,fortification|micronutrient
policies,Topics,Regulating marketing of unhealthy foods and beverages to children,28,ncd_diet
policies,Topics,Regulation/guidelines on types of foods and beverages available,28,ncd_diet
policies,Topics,Minimum dietary diversity of women,27,maternal
policies,Topics,Overweight and obesity in school age children and adolescents,27,ncd_diet|schools_education
policies,Topics,Schools (standards),27,ncd_diet|schools_education
policies,Topics,Underweight in adolescent girls,26,maternal
policies,Topics,Home grown school feeding,25,food_security|schools_education
policies,Topics,Fat intake,24,ncd_diet
policies,Topics,Fruit and vegetable juice drinks (<100%) (taxes),24,ncd_diet
policies,Topics,Fruit and vegetable juices (100%) (taxes),24,ncd_diet
policies,Topics,Salt/sodium,24,ncd_diet
policies,Topics,Complementary food provision,23,iycf
policies,Topics,Less than 14 weeks,23,
policies,Topics,Mandatory fortification of wheat flours with cobalamin (B12),23,fortification|micronutrient
policies,Topics,Nutrition and infectious disease,23,infection
policies,Topics,Undefined non-alcoholic or aerated beverages (taxes),23,ncd_diet
policies,Topics,Ingredients list,22,ncd_diet
policies,Topics,14 weeks or more,21,
policies,Topics,Health related,21,
policies,Topics,Labelling: Message on superiority of breastfeeding,21,iycf
policies,Topics,Mandatory fortification of maize flours with iron,21,anaemia|fortification
policies,Topics,Mandatory fortification of wheat flours with niacin (B3),21,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with riboflavin (B2),21,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with thiamin (B1),21,fortification|micronutrient
policies,Topics,Promotion of healthy diet and prevention of obesity and diet-related NCDs,21,ncd_diet
policies,Topics,Fortification of maize flours with folic acid aligned with WHO guidance,20,anaemia|fortification
policies,Topics,Fortification of maize flours with iron aligned with WHO guidance,20,anaemia|fortification
policies,Topics,Overweight in school children,20,ncd_diet|schools_education
policies,Topics,Regulation on marketing of complementary foods,20,iycf
policies,Topics,Calcium,19,micronutrient
policies,Topics,Employer liability,19,
policies,Topics,Healthy food environment in workplaces,19,ncd_diet
policies,Topics,Mandatory fortification of maize flours with folic acid,19,anaemia|fortification
policies,Topics,Nutrition in schools,19,schools_education
policies,Topics,Breastfeeding in difficult circumstances,18,iycf
policies,Topics,Labelling: Recommended age for designated product,18,iycf
policies,Topics,Refined sugar,18,ncd_diet
policies,Topics,Fats,17,ncd_diet
policies,Topics,Foods and snacks (taxes),17,ncd_diet
policies,Topics,Mandatory fortification of maize flours with zinc,17,fortification|micronutrient
policies,Topics,Multiple micronutrients supplementation,17,anaemia
policies,Topics,Diet-related NCDs,16,ncd_diet
policies,Topics,Fortification of oils and fats with vitamin A aligned with WHO guidance,16,fortification|micronutrient
policies,Topics,Full social security,16,food_security
policies,Topics,Mandatory fortification of maize flours with cobalamin (B12),16,fortification|micronutrient
policies,Topics,Mandatory fortification of maize flours with niacin (B3),16,fortification|micronutrient
policies,Topics,Mandatory fortification of maize flours with riboflavin (B2),16,fortification|micronutrient
policies,Topics,Mandatory fortification of maize flours with thiamin (B1),16,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with pyridoxine (B6),16,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with vitamin A,16,fortification|micronutrient
policies,Topics,"Overweight, obesity and diet-related NCDs",16,ncd_diet
policies,Topics,Promotion to the general public: Prohibition of advertising of BMS - Fully implemented,16,iycf
policies,Topics,Promotion to the general public: Prohibition of sale promotions - Fully implemented,16,iycf
policies,Topics,Dietary practice,15,ncd_diet
policies,Topics,Food vehicles (i.e. types of fortified foods),15,fortification
policies,Topics,Fruit and vegetables (standards),15,ncd_diet
policies,Topics,Mandatory for pre-packaged foods with a health claim,15,ncd_diet
policies,Topics,Mandatory fortification of maize flours with pyridoxine (B6),15,fortification|micronutrient
policies,Topics,Mandatory fortification of maize flours with vitamin A,15,fortification|micronutrient
policies,Topics,Procure from local sources,15,food_security
policies,Topics,Promotion to health workers and health facilities: Prohibition of free/low-cost supplies of BMS - Fully implemented,15,iycf
policies,Topics,Promotion to health workers and health facilities: Prohibition of materials/gifts - Fully implemented,15,iycf
policies,Topics,Voluntary standards,15,
policies,Topics,Water (standards),15,ncd_diet
policies,Topics,Ban or virtual elimination of industrial trans fatty acids,14,ncd_diet
policies,Topics,Mandatory standards,14,
policies,Topics,Right to food,14,food_security
policies,Topics,Specific nutrition criteria,14,ncd_diet
policies,Topics,Trans fat intake,14,ncd_diet
policies,Topics,Nutrient declaration (i.e. back-of-pack labelling),13,ncd_diet
policies,Topics,Saturated fat intake,13,ncd_diet
policies,Topics,School lunches,13,food_security|schools_education
policies,Topics,Staple foods,13,
policies,Topics,Fats and oils (taxes),12,ncd_diet
policies,Topics,Functioning implementation and monitoring mechanism - Fully implemented,12,governance
policies,Topics,Subsidies on healthy foods,12,food_security
policies,Topics,Sugars (solid or liquid) (taxes),12,ncd_diet
policies,Topics,Food sovereignty,11,food_security
policies,Topics,Nutrient declaration (back-of-pack labelling),11,ncd_diet
policies,Topics,Partial social security,11,food_security
policies,Topics,Salt reduction,11,ncd_diet
policies,Topics,Social protection related,11,food_security
policies,Topics,Total fat intake,11,ncd_diet
policies,Topics,Energy drinks (taxes),10,ncd_diet
policies,Topics,"Pulses,  legumes, nuts (standards)",10,ncd_diet
policies,Topics,Sugars,10,ncd_diet
policies,Topics,Trans fat,10,ncd_diet
policies,Topics,Vitamin D,10,micronutrient
policies,Topics,Claim must be substantiated,9,
policies,Topics,Fruits,9,
policies,Topics,Right to health,9,
policies,Topics,"Syrups, powders or concentrates (taxes)",9,ncd_diet
policies,Topics,Total sugars (taxes),9,ncd_diet
policies,Topics,Voluntary fortification of wheat flours with iron (amended),9,anaemia|fortification
policies,Topics,Beverages (taxes),8,ncd_diet
policies,Topics,"Fat reduction (total, saturated, trans)",8,ncd_diet
policies,Topics,Front of pack labelling,8,ncd_diet
policies,Topics,"Mineral, aerated, flavoured waters with non-sugar sweetener (taxes)",8,micronutrient|ncd_diet
policies,Topics,Vegetables,8,
policies,Topics,Any foods and beverages sold in school,7,ncd_diet|schools_education
policies,Topics,Fiscal policies,7,ncd_diet
policies,Topics,Fluoride,7,
policies,Topics,"Fortified staple foods (wheat, rice, maize) (standards)",7,fortification|ncd_diet
policies,Topics,Iodized salt (standards),7,fortification|ncd_diet
policies,Topics,Mandatory fortification of sugar with vitamin A,7,fortification|micronutrient
policies,Topics,Reformulation of foods and beverages,7,ncd_diet
policies,Topics,Sugar content specific excise tax,7,ncd_diet
policies,Topics,Sugar-sweetened beverages (standards),7,ncd_diet
policies,Topics,Sweetened milks and milk or youghurt drinks (taxes),7,ncd_diet
policies,Topics,Any foods and beverages offered in school,6,ncd_diet|schools_education
policies,Topics,"Confectionary, savoury snacks, cakes and pastries (standards)",6,ncd_diet
policies,Topics,Criteria based on national FBDGs (standards),6,ncd_diet
policies,Topics,Fish (standards),6,ncd_diet
policies,Topics,Fried foods (standards),6,ncd_diet
policies,Topics,Healthy food environment in hospitals,6,ncd_diet
policies,Topics,Measures to limit sodium content,6,ncd_diet
policies,Topics,Milk,6,
policies,Topics,"Mineral, aerated or flavoured waters with added sugars (taxes)",6,micronutrient|ncd_diet
policies,Topics,"Settings where children gather such as schools, childcare and other educational establishments",6,schools_education
policies,Topics,Sugar reduction,6,ncd_diet
policies,Topics,Use seasonal produce,6,
policies,Topics,Voluntary fortification of wheat flours with folic acid (amended),6,anaemia|fortification
policies,Topics,Whole grain bread and cereals (standards),6,ncd_diet
policies,Topics,Breastfeeding facilities,5,iycf
policies,Topics,Carbonated or non-carbonated soft drinks (standards),5,ncd_diet
policies,Topics,Fruit and vegetable juices and drinks with added sugars (taxes),5,ncd_diet
policies,Topics,Lean meat (standards),5,ncd_diet
policies,Topics,Mandatory fortification of margarine or edible oils with vitamin D,5,fortification|micronutrient
policies,Topics,Mandatory fortification of wheat flours with other micronutrients,5,fortification
policies,Topics,Mandatory reformulation,5,ncd_diet
policies,Topics,Packed school lunches,5,food_security|schools_education
policies,Topics,Promotion to the general public: Prohibition of advertising of BMS,5,iycf
policies,Topics,Salt and high-sodium condiments (standards),5,ncd_diet
policies,Topics,School breakfasts or snacks,5,ncd_diet|schools_education
policies,Topics,School food provided free of charge,5,schools_education
policies,Topics,Vendors outside school,5,schools_education
policies,Topics,Voluntary fortification of maize flours with cobalamin (B12),5,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with folic acid,5,anaemia|fortification
policies,Topics,Voluntary fortification of maize flours with niacin (B3),5,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with riboflavin (B2),5,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with thiamin (B1),5,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with vitamin A,5,fortification|micronutrient
policies,Topics,Voluntary fortification of maize flours with zinc,5,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with iron,5,anaemia|fortification
policies,Topics,Voluntary fortification of wheat flours with niacin (B3),5,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with riboflavin (B2),5,fortification|micronutrient
policies,Topics,Voluntary fortification of wheat flours with thiamin (B1),5,fortification|micronutrient
policies,Topics,Added sugars,4,ncd_diet
policies,Topics,Amount of saturated fatty acids,4,ncd_diet
policies,Topics,Amount of total fat,4,
